"site","elevation","det1","det2","det3","date1","date2","date3"
103,828.8,1,1,0,14.5,26.7,4.7
104,1882.6,0,0,0,7.8,32.8,39
105,884.4,1,1,0,11.4,32.9,41.3
106,1013,0,0,0,10.6,48.7,31.1
107,1556,1,0,1,10.5,26,28.4
108,810.8,0,0,0,9.1,7.5,39.7
109,549.4,0,0,NA,55.6,10.9,NA
110,1365.3,0,0,0,38.9,24.6,59.2
111,1458.6,0,0,0,18.9,12.2,48.5
112,1670,0,0,0,14.3,4.9,47.7
113,967.3,0,0,0,55.4,22.2,44.2
114,1392,0,0,0,30.5,14.8,33.8
115,1351.7,0,1,1,19.2,14.5,30.3
116,1157.9,1,1,0,9,39.3,20.1
117,2067.3,0,0,0,6.3,22.3,16.7
118,1222.6,0,1,1,48.4,53.6,38.1
119,1694.5,0,1,1,33.6,40.5,18.3
120,1868.8,0,0,0,23.4,40.7,31.2
121,1103.6,NA,0,0,NA,39.3,1.6
122,1695.2,1,1,1,27.5,42,39.3
123,1008.6,0,0,0,45.6,44.6,9.9
124,1460.6,0,0,0,51,9.3,48.8
125,1152.8,0,1,1,43.5,2.1,26.8
126,1913.9,0,0,0,20.1,43.7,23.3
127,1017.6,1,1,1,20.1,31.8,7.8
128,525.8,0,0,0,14.5,27.7,18.9
129,1892.4,1,0,1,31.7,58.9,54.3
130,1493.3,0,1,1,41.8,44.6,1.7
131,1536.9,0,0,0,15.3,17.9,51.4
132,1363.6,0,0,1,6.4,11.3,7.7
133,898.8,0,0,0,56,34.8,20.9
134,2208.9,0,1,NA,53.7,41.7,NA
135,1522.2,0,1,NA,41.9,5.5,NA
136,1518.2,0,0,0,50.1,24.4,31.9
137,1535.3,0,0,0,48.5,11.5,58.9
138,1619,0,0,0,46.3,3.3,22.6
139,1671.9,0,1,1,1.3,44,6
140,840.4,0,0,0,30.7,14.8,42
141,1049.1,0,1,0,42.5,44.4,9.1
142,881.7,0,0,0,9,37.2,50.2
143,1301,0,NA,0,39.1,NA,56.4
144,656.3,0,0,0,19.7,20.9,40.6
145,1501,0,0,0,21.4,50.7,16.7
146,1616.3,0,1,1,55.7,53.1,33.7
147,1341.3,0,0,0,6.3,22.4,43.8
148,618.2,0,0,0,37.9,14.8,3.7
149,2233.1,1,1,1,40.1,36.8,29.2
150,534.5,0,NA,0,40.2,NA,51.6
151,548.7,0,NA,0,7.5,NA,25.4
152,1151.2,0,0,0,50,36,58.5
153,1418.1,1,1,0,16.5,2.2,43.7
154,1379.1,1,1,0,13.5,8.3,34.2
155,1549.6,0,0,0,24.1,34.9,24.6
156,1156.3,0,0,0,40.1,32.5,24.9
157,720.7,0,0,0,34.7,30.1,2.4
158,1452.4,1,1,1,29.7,16.5,42
159,1859.3,0,1,0,39,1.5,47.4
160,2240.9,0,1,1,38.6,29.1,57.9
161,1883.4,0,0,0,43,23.3,7.2
162,1663.7,0,0,0,17.8,44.9,23.6
163,927.1,0,0,0,54.6,36.2,30.3
164,1836.6,0,0,NA,20.9,34.2,NA
165,913.7,0,0,0,40.7,47.1,5.7
166,1705.3,0,0,0,15.2,46.1,37.4
167,2107.5,1,1,0,27.8,5.1,55
168,509.5,0,0,0,5.7,29.6,58.1
169,2054.3,0,1,0,25.2,21.6,32.8
170,1278.5,0,0,0,17.3,15.8,21.5
171,930.2,0,0,NA,17.5,41.2,NA
172,1855.5,1,0,1,21.4,32.8,18.9
173,1976.5,0,1,1,6.5,52.2,31
174,1391,0,0,0,26,5.6,21.9
175,1551.3,0,0,0,23.2,53.8,25.9
176,1884.9,0,0,0,28.7,23.1,23.6
177,1349.4,0,0,0,25.8,25.3,19.7
178,921.2,0,0,NA,42.9,57,NA
179,1278,0,0,0,38.9,13.7,13.1
180,1362.4,1,1,1,14,11.4,30
181,1874,1,1,0,5.7,37.4,46.7
182,1894.4,0,0,0,26.6,39,30.9
183,894.5,0,0,0,39.1,12.6,24.4
184,1557.7,0,0,0,45.8,53,40.4
185,1546.8,1,1,1,15.6,15.9,21.6
186,2130,1,0,0,14.3,48.6,9.1
187,1084.6,0,0,0,52.5,7.8,41.9
188,546.9,0,0,0,15.3,18.1,42.5
189,1248,0,0,0,15.7,40.9,38.5
190,1262.7,1,1,0,40.1,19.6,2.4
191,937.7,0,0,0,13.1,50.8,17.3
192,501.2,0,0,0,13.8,54.2,13.1
193,1316.5,0,0,0,16.8,18,1.1
194,1448.8,0,0,0,20.1,9.1,11.6
195,2038.3,0,0,0,38.7,39.2,8.5
196,1293.5,1,1,0,6.4,32.2,40.9
197,2239.4,1,0,1,29.3,36.2,15.5
198,1164.5,0,0,0,55.1,52.2,36
199,954,0,0,0,26.3,13.5,44.6
200,2067.4,0,0,0,17.8,13.8,7.1
