"x","y","elev","grad"
329.15,-2.5,132.02,0.162558
334.175,-2.5,131.83,0.156102
339.2,-2.5,131.47,0.1506155
344.225,-2.5,130.95,0.1501286
349.25,-2.5,130.18,0.1576751
354.275,-2.5,129.41,0.1679361
359.3,-2.5,128.9,0.1739264
364.325,-2.5,128.55,0.1692338
369.35,-2.5,128.4,0.1523623
374.375,-2.5,128.31,0.1349377
379.4,-2.5,128.13,0.1235897
384.425,-2.5,127.9,0.1200802
389.45,-2.5,127.61,0.1178612
394.475,-2.5,127.35,0.1154983
399.5,-2.5,127.22,0.1126165
404.525,-2.5,127.19,0.1095334
409.55,-2.5,127.27,0.1093694
414.575,-2.5,127.4,0.1130379
419.6,-2.5,127.48,0.1180509
424.625,-2.5,127.55,0.1204194
429.65,-2.5,127.63,0.1203849
434.675,-2.5,127.7,0.1178656
439.7,-2.5,127.76,0.1156152
444.725,-2.5,127.82,0.1159918
449.75,-2.5,127.9,0.1201346
454.775,-2.5,127.95,0.1261719
459.8,-2.5,127.96,0.1299998
464.825,-2.5,127.93,0.1301838
469.85,-2.5,127.82,0.1286265
474.875,-2.5,127.73,0.1277005
479.9,-2.5,127.77,0.1272807
484.925,-2.5,127.91,0.1293038
489.95,-2.5,128.16,0.1345877
494.975,-2.5,128.44,0.1398573
500,-2.5,128.68,0.1410237
505.025,-2.5,128.88,0.1356972
510.05,-2.5,129.01,0.1263187
515.075,-2.5,129.2,0.1213493
520.1,-2.5,129.57,0.1215989
525.125,-2.5,130.09,0.1266227
530.15,-2.5,130.8,0.1335451
535.175,-2.5,131.57,0.1437707
540.2,-2.5,132.23,0.1545538
545.225,-2.5,132.85,0.1668653
550.25,-2.5,133.44,0.1824594
555.275,-2.5,134.01,0.191165
560.3,-2.5,134.58,0.1953743
565.325,-2.5,135.16,0.1911089
570.35,-2.5,135.77,0.1812399
575.375,-2.5,136.32,0.172633
580.4,-2.5,136.75,0.1666728
585.425,-2.5,137.06,0.1652781
590.45,-2.5,137.19,0.1653498
595.475,-2.5,137.32,0.1618677
600.5,-2.5,137.62,0.148964
605.525,-2.5,138.04,0.1265666
610.55,-2.5,138.65,0.1036106
615.575,-2.5,139.23,0.08783
620.6,-2.5,139.56,0.07701136
625.625,-2.5,139.7,0.07327028
630.65,-2.5,139.6,0.07528893
635.675,-2.5,139.47,0.07377424
640.7,-2.5,139.45,0.07170188
645.725,-2.5,139.56,0.08850808
650.75,-2.5,140.08,0.1239261
655.775,-2.5,140.26,0.1531517
660.8,-2.5,139.37,0.1691586
665.825,-2.5,138.35,0.1790913
670.85,-2.5,137.54,0.1823732
675.875,-2.5,135.35,0.1663268
680.9,-2.5,133.11,0.1444343
685.925,-2.5,133.03,0.1308314
690.95,-2.5,135.02,0.1307468
695.975,-2.5,135.41,0.1312564
701,-2.5,135.76,0.1333102
706.025,-2.5,136.74,0.1435311
711.05,-2.5,136.84,0.144944
716.075,-2.5,136.57,0.1237308
721.1,-2.5,136.5,0.1078193
726.125,-2.5,136.39,0.1160655
731.15,-2.5,136.13,0.1344537
736.175,-2.5,135.87,0.1459992
741.2,-2.5,135.7,0.1566445
746.225,-2.5,135.59,0.1697809
751.25,-2.5,135.56,0.1850676
756.275,-2.5,135.53,0.1991268
761.3,-2.5,135.39,0.2097028
766.325,-2.5,135.18,0.2168843
771.35,-2.5,134.87,0.2225701
776.375,-2.5,134.55,0.2258849
781.4,-2.5,134.3,0.2298304
786.425,-2.5,134.12,0.2376908
791.45,-2.5,134.1,0.2493245
796.475,-2.5,133.97,0.2567469
801.5,-2.5,133.47,0.255578
806.525,-2.5,132.67,0.2436383
811.55,-2.5,131.39,0.2227354
816.575,-2.5,130.11,0.1957195
821.6,-2.5,129.31,0.1658461
826.625,-2.5,128.81,0.140755
831.65,-2.5,128.69,0.1238905
836.675,-2.5,128.66,0.1184924
841.7,-2.5,128.45,0.1211428
846.725,-2.5,128.16,0.1245765
851.75,-2.5,127.8,0.1230003
856.775,-2.5,127.4,0.1076468
861.8,-2.5,127.03,0.08795075
866.825,-2.5,126.65,0.06582156
871.85,-2.5,126.17,0.04584103
876.875,-2.5,125.79,0.03262418
881.9,-2.5,125.67,0.02784969
886.925,-2.5,125.78,0.03127724
891.95,-2.5,126.26,0.03812439
896.975,-2.5,126.71,0.04841431
902,-2.5,126.71,0.05649049
907.025,-2.5,126.39,0.05824116
912.05,-2.5,125.65,0.06118796
917.075,-2.5,124.84,0.07014427
922.1,-2.5,124.32,0.07893892
927.125,-2.5,123.96,0.08163637
932.15,-2.5,123.8,0.08193137
937.175,-2.5,123.67,0.08514183
942.2,-2.5,123.36,0.09144369
947.225,-2.5,122.94,0.09840736
952.25,-2.5,122.36,0.1037183
957.275,-2.5,121.79,0.1058013
962.3,-2.5,121.41,0.1079818
967.325,-2.5,121.17,0.107762
972.35,-2.5,121.1,0.1064322
977.375,-2.5,121.06,0.1066122
982.4,-2.5,120.91,0.1102912
987.425,-2.5,120.7,0.1133288
992.45,-2.5,120.46,0.1144384
997.475,-2.5,120.16,0.1159579
1002.5,-2.5,119.81,0.1084148
-2.5,2.55,120.87,0.2018099
2.525,2.55,120.88,0.2460413
7.55,2.55,122.65,0.2708957
12.575,2.55,124.18,0.2898227
17.6,2.55,125.45,0.3027185
22.625,2.55,126.89,0.3011043
27.65,2.55,127.99,0.2819381
32.675,2.55,129.1,0.2464982
37.7,2.55,130.49,0.2009607
42.725,2.55,131.62,0.1591875
47.75,2.55,132.26,0.1302566
52.775,2.55,132.44,0.1047478
57.8,2.55,132.67,0.08442998
62.825,2.55,132.94,0.07068229
67.85,2.55,133.24,0.06246796
72.875,2.55,133.53,0.06032658
77.9,2.55,133.83,0.05837957
82.925,2.55,134.16,0.05331061
87.95,2.55,134.56,0.04753174
92.975,2.55,134.94,0.04243205
98,2.55,135.16,0.03830475
103.025,2.55,135.25,0.03626245
108.05,2.55,135.2,0.03617764
113.075,2.55,135.1,0.03734426
118.1,2.55,135.22,0.03981525
123.125,2.55,135.46,0.04369392
128.15,2.55,135.87,0.04866719
133.175,2.55,136.35,0.05350602
138.2,2.55,136.7,0.05701099
143.225,2.55,136.97,0.0582849
148.25,2.55,137.19,0.05674975
153.275,2.55,137.38,0.05308922
158.3,2.55,137.6,0.0484053
163.325,2.55,137.89,0.04666378
168.35,2.55,138.28,0.05195652
173.375,2.55,138.53,0.06488028
178.4,2.55,138.52,0.08245428
183.425,2.55,138.33,0.1004551
188.45,2.55,137.83,0.117494
193.475,2.55,137.37,0.1328994
198.5,2.55,137.16,0.1465312
203.525,2.55,137.15,0.1592509
208.55,2.55,137.35,0.1702956
213.575,2.55,137.42,0.1804491
218.6,2.55,137.3,0.1898253
223.625,2.55,137.2,0.1977539
228.65,2.55,137.03,0.2030264
233.675,2.55,136.82,0.2063739
238.7,2.55,136.62,0.2096561
243.725,2.55,136.42,0.2120917
248.75,2.55,136.16,0.2123024
253.775,2.55,135.85,0.2118867
258.8,2.55,135.58,0.2120792
263.825,2.55,135.35,0.2124781
268.85,2.55,135.15,0.213093
273.875,2.55,134.91,0.2103862
278.9,2.55,134.68,0.2047779
283.925,2.55,134.52,0.1978052
288.95,2.55,134.36,0.189836
293.975,2.55,134.19,0.1808866
299,2.55,134,0.1735835
304.025,2.55,133.81,0.1685029
309.05,2.55,133.58,0.1649784
314.075,2.55,133.37,0.1624988
319.1,2.55,133.12,0.1627846
324.125,2.55,132.94,0.1651125
329.15,2.55,132.84,0.1677337
334.175,2.55,132.69,0.168597
339.2,2.55,132.36,0.1685775
344.225,2.55,131.82,0.1699422
349.25,2.55,130.97,0.1738934
354.275,2.55,130.2,0.1768151
359.3,2.55,129.64,0.177803
364.325,2.55,129.29,0.175239
369.35,2.55,129.18,0.1655598
374.375,2.55,129.12,0.1545708
379.4,2.55,128.97,0.1478205
384.425,2.55,128.7,0.1443417
389.45,2.55,128.36,0.1429183
394.475,2.55,128.15,0.1413921
399.5,2.55,128.09,0.138966
404.525,2.55,128.05,0.1360199
409.55,2.55,128.09,0.1351002
414.575,2.55,128.16,0.1348183
419.6,2.55,128.17,0.1334655
424.625,2.55,128.19,0.130324
429.65,2.55,128.2,0.1265805
434.675,2.55,128.28,0.1226561
439.7,2.55,128.36,0.1200965
444.725,2.55,128.41,0.1208926
449.75,2.55,128.48,0.1239763
454.775,2.55,128.54,0.128227
459.8,2.55,128.56,0.1321153
464.825,2.55,128.53,0.1337592
469.85,2.55,128.43,0.1335254
474.875,2.55,128.41,0.1336344
479.9,2.55,128.51,0.1349449
484.925,2.55,128.66,0.1385643
489.95,2.55,128.9,0.1438729
494.975,2.55,129.14,0.1481797
500,2.55,129.32,0.1491517
505.025,2.55,129.49,0.1457422
510.05,2.55,129.59,0.1388093
515.075,2.55,129.83,0.1329296
520.1,2.55,130.24,0.1319532
525.125,2.55,130.74,0.1352438
530.15,2.55,131.41,0.1414501
535.175,2.55,132.13,0.1487467
540.2,2.55,132.78,0.1558806
545.225,2.55,133.38,0.163206
550.25,2.55,133.96,0.1731738
555.275,2.55,134.55,0.1806907
560.3,2.55,135.15,0.1841472
565.325,2.55,135.78,0.1846587
570.35,2.55,136.5,0.1797937
575.375,2.55,137.12,0.1748337
580.4,2.55,137.62,0.1708621
585.425,2.55,137.87,0.1660766
590.45,2.55,137.93,0.1591279
595.475,2.55,137.98,0.1489647
600.5,2.55,138.22,0.1339282
605.525,2.55,138.6,0.1158989
610.55,2.55,139.18,0.09840108
615.575,2.55,139.65,0.08501483
620.6,2.55,139.86,0.07540378
625.625,2.55,139.91,0.06755731
630.65,2.55,139.74,0.06145825
635.675,2.55,139.71,0.05618668
640.7,2.55,139.78,0.05567895
645.725,2.55,139.98,0.06712597
650.75,2.55,140.64,0.1006535
655.775,2.55,140.83,0.1429834
660.8,2.55,140.12,0.1737859
665.825,2.55,139.23,0.1833815
670.85,2.55,138.29,0.1811169
675.875,2.55,136.09,0.168724
680.9,2.55,133.25,0.1470529
685.925,2.55,133.74,0.1306853
690.95,2.55,135.1,0.1278557
695.975,2.55,135.44,0.1336015
701,2.55,136.46,0.1424838
706.025,2.55,137.6,0.1438387
711.05,2.55,137.65,0.1284674
716.075,2.55,137.19,0.1053963
721.1,2.55,137,0.1002032
726.125,2.55,136.89,0.1035241
731.15,2.55,136.68,0.1136545
736.175,2.55,136.5,0.1290484
741.2,2.55,136.41,0.1436793
746.225,2.55,136.37,0.1577213
751.25,2.55,136.44,0.1725656
756.275,2.55,136.45,0.1875497
761.3,2.55,136.34,0.1997211
766.325,2.55,136.19,0.2070948
771.35,2.55,135.95,0.2110538
776.375,2.55,135.69,0.2147183
781.4,2.55,135.48,0.2189029
786.425,2.55,135.31,0.2277586
791.45,2.55,135.32,0.241036
796.475,2.55,135.08,0.2527238
801.5,2.55,134.49,0.2570009
806.525,2.55,133.6,0.2512225
811.55,2.55,132.23,0.2368489
816.575,2.55,130.99,0.2171271
821.6,2.55,130.23,0.1945651
826.625,2.55,129.63,0.1718475
831.65,2.55,129.34,0.1507796
836.675,2.55,129.04,0.1335108
841.7,2.55,128.54,0.1203228
846.725,2.55,128.14,0.1109542
851.75,2.55,127.79,0.1063095
856.775,2.55,127.58,0.1011839
861.8,2.55,127.47,0.09389665
866.825,2.55,127.13,0.08427291
871.85,2.55,126.69,0.07215252
876.875,2.55,126.34,0.06277582
881.9,2.55,126.27,0.0554666
886.925,2.55,126.1,0.05152371
891.95,2.55,126.3,0.05345223
896.975,2.55,126.66,0.05688076
902,2.55,126.64,0.05936663
907.025,2.55,126.45,0.05986052
912.05,2.55,125.83,0.06157844
917.075,2.55,125.07,0.06582784
922.1,2.55,124.6,0.07163394
927.125,2.55,124.2,0.07579298
932.15,2.55,123.97,0.07980915
937.175,2.55,123.84,0.08539697
942.2,2.55,123.55,0.09071228
947.225,2.55,123.21,0.09392262
952.25,2.55,122.71,0.0948507
957.275,2.55,122.18,0.0954292
962.3,2.55,121.84,0.0984269
967.325,2.55,121.63,0.1026498
972.35,2.55,121.6,0.1058262
977.375,2.55,121.62,0.1090293
982.4,2.55,121.49,0.1141745
987.425,2.55,121.21,0.1179874
992.45,2.55,120.93,0.1212911
997.475,2.55,120.61,0.1245883
1002.5,2.55,120.24,0.1232557
-2.5,7.6,121.12,0.1620656
2.525,7.6,121.35,0.1782444
7.55,7.6,122.38,0.1940591
12.575,7.6,123.52,0.2188861
17.6,7.6,124.62,0.2401806
22.625,7.6,125.8,0.2518106
27.65,7.6,127.19,0.2519275
32.675,7.6,128.8,0.2426417
37.7,7.6,130.72,0.2224134
42.725,7.6,132.07,0.1942549
47.75,7.6,132.62,0.1675102
52.775,7.6,132.46,0.1403843
57.8,7.6,132.86,0.1122024
62.825,7.6,133.2,0.08980021
67.85,7.6,133.27,0.07350237
72.875,7.6,133.6,0.06531772
77.9,7.6,133.92,0.06054048
82.925,7.6,134.27,0.05390889
87.95,7.6,134.66,0.04598275
92.975,7.6,134.99,0.03994534
98,7.6,135.19,0.03564255
103.025,7.6,135.22,0.03294067
108.05,7.6,135.16,0.03278225
113.075,7.6,135.13,0.03443498
118.1,7.6,135.24,0.03828938
123.125,7.6,135.5,0.04374381
128.15,7.6,135.82,0.04942174
133.175,7.6,136.26,0.05456811
138.2,7.6,136.64,0.05796713
143.225,7.6,136.9,0.05914192
148.25,7.6,137.11,0.05856002
153.275,7.6,137.36,0.05602784
158.3,7.6,137.63,0.05202359
163.325,7.6,138.02,0.0480552
168.35,7.6,138.46,0.0479878
173.375,7.6,138.7,0.05522835
178.4,7.6,138.82,0.0680797
183.425,7.6,138.74,0.08247065
188.45,7.6,138.43,0.09678895
193.475,7.6,138.17,0.1108868
198.5,7.6,138.08,0.1244973
203.525,7.6,138.24,0.1372832
208.55,7.6,138.39,0.1486447
213.575,7.6,138.22,0.1585546
218.6,7.6,138.1,0.1668221
223.625,7.6,138.02,0.1737717
228.65,7.6,137.89,0.1796145
233.675,7.6,137.75,0.1846381
238.7,7.6,137.65,0.1897794
243.725,7.6,137.53,0.1941528
248.75,7.6,137.29,0.196842
253.775,7.6,136.98,0.1990899
258.8,7.6,136.74,0.2013969
263.825,7.6,136.53,0.2032479
268.85,7.6,136.26,0.204486
273.875,7.6,135.89,0.2042859
278.9,7.6,135.65,0.2020923
283.925,7.6,135.5,0.1987718
288.95,7.6,135.33,0.1946148
293.975,7.6,135.1,0.1906724
299,7.6,134.91,0.187506
304.025,7.6,134.72,0.1848166
309.05,7.6,134.5,0.1821399
314.075,7.6,134.2,0.1803453
319.1,7.6,133.87,0.1800184
324.125,7.6,133.66,0.1815413
329.15,7.6,133.56,0.1838949
334.175,7.6,133.38,0.1860729
339.2,7.6,133.11,0.1877032
344.225,7.6,132.6,0.189206
349.25,7.6,131.88,0.1909907
354.275,7.6,131.1,0.1920993
359.3,7.6,130.44,0.1919945
364.325,7.6,130.06,0.1909439
369.35,7.6,129.88,0.1871355
374.375,7.6,129.85,0.1823225
379.4,7.6,129.7,0.1794725
384.425,7.6,129.36,0.1781578
389.45,7.6,129.09,0.1769842
394.475,7.6,129.01,0.1754469
399.5,7.6,128.95,0.1725223
404.525,7.6,128.91,0.1683306
409.55,7.6,128.94,0.1640886
414.575,7.6,128.88,0.1597108
419.6,7.6,128.8,0.1539692
424.625,7.6,128.73,0.147196
429.65,7.6,128.75,0.1402505
434.675,7.6,128.86,0.1337507
439.7,7.6,128.92,0.1289378
444.725,7.6,128.95,0.1273881
449.75,7.6,129.03,0.1282523
454.775,7.6,129.1,0.1301828
459.8,7.6,129.12,0.1323807
464.825,7.6,129.09,0.1340167
469.85,7.6,129.06,0.1349283
474.875,7.6,129.19,0.135774
479.9,7.6,129.32,0.1376502
484.925,7.6,129.47,0.1416721
489.95,7.6,129.66,0.1474555
494.975,7.6,129.79,0.152781
500,7.6,129.93,0.1561951
505.025,7.6,130.05,0.1574439
510.05,7.6,130.19,0.1568903
515.075,7.6,130.55,0.1562091
520.1,7.6,130.93,0.1567649
525.125,7.6,131.37,0.1588677
530.15,7.6,131.98,0.1613228
535.175,7.6,132.67,0.1635873
540.2,7.6,133.29,0.1647969
545.225,7.6,133.85,0.1667458
550.25,7.6,134.45,0.1707133
555.275,7.6,135.12,0.173165
560.3,7.6,135.74,0.1730007
565.325,7.6,136.4,0.1709718
570.35,7.6,137.12,0.1663741
575.375,7.6,137.95,0.1604288
580.4,7.6,138.52,0.1546289
585.425,7.6,138.73,0.1481937
590.45,7.6,138.73,0.140961
595.475,7.6,138.78,0.1318131
600.5,7.6,138.94,0.1206088
605.525,7.6,139.25,0.109011
610.55,7.6,139.66,0.09842872
615.575,7.6,139.88,0.08943677
620.6,7.6,139.98,0.08138022
625.625,7.6,139.9,0.07300659
630.65,7.6,139.84,0.0653804
635.675,7.6,140.01,0.0593116
640.7,7.6,140.08,0.05770463
645.725,7.6,140.35,0.06367569
650.75,7.6,140.84,0.08683573
655.775,7.6,140.93,0.1240061
660.8,7.6,140.35,0.1545336
665.825,7.6,139.69,0.1668544
670.85,7.6,138.87,0.1715036
675.875,7.6,137.27,0.1671459
680.9,7.6,135.39,0.1520646
685.925,7.6,135.97,0.1375769
690.95,7.6,136.11,0.1314762
695.975,7.6,136.42,0.1320952
701,7.6,136.49,0.1361873
706.025,7.6,137.5,0.1326322
711.05,7.6,138.09,0.1158941
716.075,7.6,137.67,0.1004614
721.1,7.6,137.41,0.09812539
726.125,7.6,137.34,0.09993495
731.15,7.6,137.23,0.107481
736.175,7.6,137.2,0.1214206
741.2,7.6,137.17,0.1349091
746.225,7.6,137.2,0.1469405
751.25,7.6,137.29,0.1594593
756.275,7.6,137.3,0.1716798
761.3,7.6,137.29,0.1819938
766.325,7.6,137.21,0.1885055
771.35,7.6,137.03,0.1923153
776.375,7.6,136.93,0.1957018
781.4,7.6,136.74,0.2003916
786.425,7.6,136.58,0.2091638
791.45,7.6,136.43,0.2219141
796.475,7.6,135.96,0.2340822
801.5,7.6,135.36,0.2417577
806.525,7.6,134.42,0.2422874
811.55,7.6,133.15,0.2365385
816.575,7.6,132.22,0.2269802
821.6,7.6,131.39,0.2136952
826.625,7.6,130.67,0.1963943
831.65,7.6,130.08,0.176587
836.675,7.6,129.23,0.1563152
841.7,7.6,128.46,0.1372752
846.725,7.6,127.86,0.1213783
851.75,7.6,127.57,0.1097653
856.775,7.6,127.84,0.1011242
861.8,7.6,127.94,0.09574475
866.825,7.6,127.68,0.09085604
871.85,7.6,127.3,0.08472735
876.875,7.6,127.11,0.08030019
881.9,7.6,127.04,0.07572691
886.925,7.6,126.74,0.07254885
891.95,7.6,126.24,0.07248187
896.975,7.6,126.29,0.07314446
902,7.6,126.27,0.07300006
907.025,7.6,126.13,0.07137541
912.05,7.6,125.91,0.06904445
917.075,7.6,125.34,0.06837715
922.1,7.6,124.94,0.07063614
927.125,7.6,124.6,0.07595994
932.15,7.6,124.12,0.08213802
937.175,7.6,123.91,0.08789757
942.2,7.6,123.65,0.09169459
947.225,7.6,123.32,0.09221767
952.25,7.6,123.03,0.09041974
957.275,7.6,122.64,0.08828113
962.3,7.6,122.36,0.08901248
967.325,7.6,122.22,0.09256912
972.35,7.6,122.16,0.09660204
977.375,7.6,122.19,0.100635
982.4,7.6,122.1,0.1059775
987.425,7.6,121.78,0.1108177
992.45,7.6,121.32,0.1169942
997.475,7.6,120.96,0.1247283
1002.5,7.6,120.58,0.1289009
-2.5,12.65,121.36,0.1699737
2.525,12.65,121.29,0.166733
7.55,12.65,121.4,0.166753
12.575,12.65,122,0.1738107
17.6,12.65,124.53,0.180885
22.625,12.65,125.36,0.1901703
27.65,12.65,126.33,0.1991356
32.675,12.65,128.33,0.2029593
37.7,12.65,130.4,0.2013702
42.725,12.65,131.73,0.1937264
47.75,12.65,131.96,0.1823502
52.775,12.65,132.06,0.1671845
57.8,12.65,132.83,0.144592
62.825,12.65,133.48,0.1183144
67.85,12.65,133.49,0.09325757
72.875,12.65,133.59,0.07593965
77.9,12.65,133.95,0.06518057
82.925,12.65,134.29,0.05525543
87.95,12.65,134.73,0.04567538
92.975,12.65,135.05,0.03809232
98,12.65,135.18,0.03276746
103.025,12.65,135.2,0.03026741
108.05,12.65,135.08,0.03086441
113.075,12.65,135.09,0.03360969
118.1,12.65,135.29,0.0380294
123.125,12.65,135.59,0.0440368
128.15,12.65,135.89,0.05017623
133.175,12.65,136.21,0.05538621
138.2,12.65,136.56,0.05880751
143.225,12.65,136.83,0.06024423
148.25,12.65,137.02,0.06043126
153.275,12.65,137.28,0.05947419
158.3,12.65,137.62,0.05706473
163.325,12.65,138.04,0.0531552
168.35,12.65,138.42,0.05003018
173.375,12.65,138.73,0.05116186
178.4,12.65,139,0.05725517
183.425,12.65,139.12,0.0664856
188.45,12.65,139.02,0.07714594
193.475,12.65,138.86,0.08863633
198.5,12.65,138.9,0.1003807
203.525,12.65,139.09,0.1115593
208.55,12.65,139.05,0.1216232
213.575,12.65,138.93,0.1306179
218.6,12.65,138.85,0.1383096
223.625,12.65,138.8,0.1451978
228.65,12.65,138.7,0.1518619
233.675,12.65,138.59,0.1585
238.7,12.65,138.56,0.1652296
243.725,12.65,138.49,0.1715099
248.75,12.65,138.29,0.1768292
253.775,12.65,138.05,0.1815384
258.8,12.65,137.83,0.1860125
263.825,12.65,137.6,0.1903102
268.85,12.65,137.2,0.1939434
273.875,12.65,136.8,0.1963583
278.9,12.65,136.59,0.1973398
283.925,12.65,136.44,0.197412
288.95,12.65,136.23,0.1969568
293.975,12.65,136.01,0.19695
299,12.65,135.84,0.1973584
304.025,12.65,135.68,0.1975552
309.05,12.65,135.41,0.1972271
314.075,12.65,135.03,0.196933
319.1,12.65,134.69,0.1971273
324.125,12.65,134.45,0.1985201
329.15,12.65,134.26,0.2007297
334.175,12.65,134.06,0.2031024
339.2,12.65,133.88,0.2049525
344.225,12.65,133.55,0.2060336
349.25,12.65,132.89,0.2064916
354.275,12.65,131.99,0.2067675
359.3,12.65,131.32,0.2067705
364.325,12.65,130.84,0.2068198
369.35,12.65,130.69,0.2066097
374.375,12.65,130.72,0.2065262
379.4,12.65,130.53,0.2071323
384.425,12.65,130.22,0.2081637
389.45,12.65,130.06,0.2085842
394.475,12.65,129.97,0.207128
399.5,12.65,129.93,0.203342
404.525,12.65,129.91,0.1977539
409.55,12.65,129.84,0.1909911
414.575,12.65,129.66,0.1834832
419.6,12.65,129.52,0.174873
424.625,12.65,129.42,0.1653606
429.65,12.65,129.44,0.1558869
434.675,12.65,129.5,0.1472715
439.7,12.65,129.53,0.1404183
444.725,12.65,129.56,0.1362392
449.75,12.65,129.62,0.1345071
454.775,12.65,129.66,0.1343516
459.8,12.65,129.7,0.1350612
464.825,12.65,129.71,0.135975
469.85,12.65,129.83,0.136913
474.875,12.65,130.02,0.1380924
479.9,12.65,130.15,0.1404841
484.925,12.65,130.27,0.1450763
489.95,12.65,130.37,0.1514739
494.975,12.65,130.46,0.1584349
500,12.65,130.58,0.1649456
505.025,12.65,130.69,0.1709346
510.05,12.65,131,0.175968
515.075,12.65,131.42,0.1801755
520.1,12.65,131.76,0.1832946
525.125,12.65,132.14,0.1849712
530.15,12.65,132.68,0.1846749
535.175,12.65,133.27,0.1815529
540.2,12.65,133.84,0.1765535
545.225,12.65,134.37,0.1721135
550.25,12.65,135.01,0.1694057
555.275,12.65,135.68,0.166681
560.3,12.65,136.28,0.1628383
565.325,12.65,136.9,0.1577451
570.35,12.65,137.8,0.1509999
575.375,12.65,138.78,0.1432071
580.4,12.65,139.28,0.1358049
585.425,12.65,139.47,0.129374
590.45,12.65,139.53,0.1234931
595.475,12.65,139.58,0.117382
600.5,12.65,139.63,0.1108915
605.525,12.65,139.78,0.1049157
610.55,12.65,139.96,0.09970548
615.575,12.65,140.12,0.0945681
620.6,12.65,140.15,0.08877245
625.625,12.65,140.08,0.0816738
630.65,12.65,140.18,0.0743135
635.675,12.65,140.32,0.06808729
640.7,12.65,140.39,0.06517655
645.725,12.65,140.51,0.0677429
650.75,12.65,140.84,0.0828856
655.775,12.65,141.02,0.1113423
660.8,12.65,140.43,0.1363856
665.825,12.65,139.79,0.1497281
670.85,12.65,139.2,0.1577298
675.875,12.65,138.32,0.1590924
680.9,12.65,137.44,0.1509356
685.925,12.65,137.28,0.1398235
690.95,12.65,137.34,0.1321682
695.975,12.65,137.09,0.1286044
701,12.65,136.54,0.1278429
706.025,12.65,137.04,0.1227181
711.05,12.65,137.7,0.1096781
716.075,12.65,137.94,0.09935988
721.1,12.65,137.8,0.0978136
726.125,12.65,137.8,0.09928732
731.15,12.65,137.83,0.1047395
736.175,12.65,137.87,0.1157653
741.2,12.65,137.88,0.1271709
746.225,12.65,137.93,0.1370919
751.25,12.65,137.99,0.1468992
756.275,12.65,138.09,0.1564724
761.3,12.65,138.15,0.1645508
766.325,12.65,138.13,0.1700543
771.35,12.65,138.15,0.1738021
776.375,12.65,138.15,0.1772509
781.4,12.65,137.93,0.182235
786.425,12.65,137.64,0.1910361
791.45,12.65,137.23,0.2030058
796.475,12.65,136.73,0.2152314
801.5,12.65,136.14,0.2253131
806.525,12.65,135.29,0.2304385
811.55,12.65,134.43,0.2310415
816.575,12.65,133.58,0.2287993
821.6,12.65,132.61,0.2230051
826.625,12.65,131.68,0.2124618
831.65,12.65,130.6,0.1968898
836.675,12.65,129.48,0.177911
